source_id	source_label	category	input_mode	raw_dir	adapter_name
amdr-spy6雷达选定采购报告2023年12月	AMDR/SPY-6 采办报告（MSAR 2023年12月）	core_builtin	file	raw/papers	builtin
arsenl空军标准	ARSENL — 空军架构标准与工程库	core_builtin	file	raw/papers	builtin
b-21突袭者mosa案例	B-21 Raider突袭者轰炸机MOSA实施案例	core_builtin	file	raw/articles	builtin
bbp-3.0实施指令	Better Buying Power 3.0 — 实施指令	core_builtin	file	raw/papers	builtin
cae公司scars项目	CAE SCARS Program	core_builtin	file	raw/articles	builtin
cmoss概述2022	CMOSS（C5ISR/EW模块化开放标准套件）概述	core_builtin	file	raw/papers	builtin
crs报告-nc3-if11697	CRS IF11697 — 核指挥控制通信入门	core_builtin	file	raw/papers	builtin
crs报告-哨兵洲际导弹if11681	CRS IF11681 — Sentinel LGM-35A ICBM入门	core_builtin	file	raw/papers	builtin
csis-mosa责任分担报告2025	CSIS：通过模块化开放系统方法分担负担	core_builtin	file	raw/articles	builtin
dau下一代采办2024	DAU Next Generation Acquisition Model — Open Architectures	core_builtin	file	raw/papers	builtin
dfars-2021-mosa信息征求	DFARS Case 2021-D005: 模块化开放系统方法合同条款	core_builtin	file	raw/articles	builtin
dfars第207部分	DFARS第207部分 — 采办规划（MOSA）	core_builtin	file	raw/papers	builtin
dfars第227部分-专利数据与版权	DFARS第227部分：专利、数据及版权	core_builtin	file	raw/papers	builtin
dfars第252部分-合同条款	DFARS Part 252 — 征询条款与合同条款	core_builtin	file	raw/papers	builtin
dodi-5000.74-服务	DoDI 5000.74 — 服务采办	core_builtin	file	raw/papers	builtin
dodi-5000.75-业务系统	DoDI 5000.75 — 业务系统需求与采办	core_builtin	file	raw/papers	builtin
dodi-5000.80中间层采办	DoDI 5000.80 — 中间采办层级（MTA）	core_builtin	file	raw/papers	builtin
dodi-5000.81紧急能力	DoDI 5000.81 — 紧急能力采办	core_builtin	file	raw/papers	builtin
dodi-5000.87软件采办	DoDI 5000.87 — 防务采办软件采办	core_builtin	file	raw/papers	builtin
dodi-5000.97数字工程	DoDI 5000.97 — 数字工程	core_builtin	file	raw/papers	builtin
dot&e-fy2024-abms评估	DOT&E FY2024年度报告 - ABMS章节	core_builtin	file	raw/papers	builtin
dot&e-fy2025低层防空反导评估	DOT&E FY2025 - Lower Tier Air and Missile Defense Sensor (LTAMDS)	core_builtin	file	raw/papers	builtin
dot&e-fy2025宙斯盾评估	DOT&E FY2025 - Aegis Modernization Program	core_builtin	file	raw/papers	builtin
dsp期刊-mosa方法2001	DSP Journal: MOSA概述与努力（2020）	core_builtin	file	raw/papers	builtin
dsp期刊-mosa方法2020	DSP Journal 2020 — MOSA专刊	core_builtin	file	raw/papers	builtin
dtic-nc3架构ada619949	NC3 Architecture Update — DTIC ADA619949	core_builtin	file	raw/papers	builtin
dvids-r-egi导航飞行测试2024	R-EGI PNT Systems Flight Demonstrations — DVIDS	core_builtin	file	raw/papers	builtin
e-hel直升机mosa案例	E-HEL持久高能激光定向能武器MOSA实施	core_builtin	file	raw/articles	builtin
face技术标准3.2-2023	FACE技术标准3.2版（2023年8月）	core_builtin	file	raw/papers	builtin
flraa-mv75-mosa案例	FLRAA MV-75未来远程突击飞行器MOSA数字工程实施	core_builtin	file	raw/articles	builtin
fy2017-ndaa第805节	FY2017 NDAA — Section 805：MOSA 立法源	core_builtin	file	raw/papers	builtin
fy24科学技术参考条款	FY2024 DAF SAB S&T审查职权范围（CCA/DEW/SWD）	core_builtin	file	raw/papers	builtin
gao-24-106831武器系统	GAO-24-106831 — 武器系统年度评估	core_builtin	file	raw/papers	builtin
gao-25-106931-mosa审查	GAO-25-106931: MOSA专项审查报告	core_builtin	file	raw/papers	builtin
gao-r-25-106931-mosa审查	GAO-25-106931 MOSA专项审查报告：武器系统采办——国防部需要更好的规划以获取模块化开放系统方法的收益	core_builtin	file	raw/papers	builtin
hasc报告114-102	HASC Report 114-102 — FY2016 NDAA 委员会报告	core_builtin	file	raw/papers	builtin
hima和谐智能出行	鸿蒙智行官网：HIMA联盟与核心技术	core_builtin	file	raw/articles	builtin
icnews-coarps信息征求	Air Force Posts COARPS RFI	core_builtin	file	raw/articles	builtin
ieee-nasa数字工程之旅2024	IEEE Aerospace Conference: NASA数字工程转型之旅（2024）	core_builtin	file	raw/papers	builtin
incose-mbse方法论调查	INCOSE MBSE方法论调查	core_builtin	file	raw/papers	builtin
incose系统工程手册v5	INCOSE SE Handbook V5 — 系统工程手册第五版	core_builtin	file	raw/papers	builtin
is4s-r-egi-c12j飞行测试	R-EGI Takes Flight on Military C-12J Test Aircraft	core_builtin	file	raw/articles	builtin
iso-15288-2023系统工程	ISO/IEC/IEEE 15288:2023 — 系统生命周期过程	core_builtin	file	raw/papers	builtin
insidegnss-r-egi里程碑2024	R-EGI Program Achieves Key Milestone	core_builtin	file	raw/articles	builtin
mil-hdbk-1211导弹飞行仿真	MIL-HDBK-1211(MI)：导弹飞行仿真手册	core_builtin	file	raw/papers	builtin
